epoch,accuracy,loss,top3_acc,top5_acc,val_accuracy,val_loss,val_top3_acc,val_top5_acc
0,0.16470588743686676,9.010597229003906,0.42500001192092896,0.6441176533699036,0.44117647409439087,7.537168502807617,0.8823529481887817,1.0
1,0.2970588207244873,6.858557224273682,0.6308823823928833,0.8367646932601929,0.5,5.762531280517578,0.9411764740943909,0.970588207244873
2,0.46176469326019287,5.31212854385376,0.7970588207244873,0.9323529601097107,0.7058823704719543,4.313208103179932,1.0,1.0
3,0.5779411792755127,4.152770519256592,0.929411768913269,0.9897058606147766,0.5588235259056091,3.670696496963501,1.0,1.0
4,0.699999988079071,3.4319469928741455,0.970588207244873,0.9941176176071167,0.7941176295280457,2.9986181259155273,1.0,1.0
5,0.7470588088035583,2.945976972579956,0.9750000238418579,0.9941176176071167,0.8235294222831726,2.682095527648926,1.0,1.0
6,0.8220587968826294,2.5765528678894043,0.9838235378265381,0.9985294342041016,0.7352941036224365,2.424285650253296,0.970588207244873,1.0
7,0.8235294222831726,2.387338876724243,0.9808823466300964,0.9985294342041016,0.8235294222831726,2.228764533996582,1.0,1.0
8,0.8794117569923401,2.142055034637451,0.9852941036224365,0.9970588088035583,0.8823529481887817,1.9016599655151367,1.0,1.0
9,0.8705882430076599,1.9965852499008179,0.9838235378265381,0.9955882430076599,0.9411764740943909,1.7846096754074097,1.0,1.0
10,0.8794117569923401,1.8828943967819214,0.9808823466300964,0.9955882430076599,0.8823529481887817,1.8431235551834106,1.0,1.0
11,0.895588219165802,1.7670210599899292,0.9911764860153198,0.9970588088035583,0.8823529481887817,1.6226997375488281,1.0,1.0
12,0.9367647171020508,1.6289753913879395,0.9941176176071167,0.9941176176071167,0.970588207244873,1.4298866987228394,1.0,1.0
13,0.970588207244873,1.5012626647949219,0.9985294342041016,0.9985294342041016,0.9411764740943909,1.4351507425308228,1.0,1.0
14,0.9397059082984924,1.4375219345092773,0.9955882430076599,0.9985294342041016,0.9411764740943909,1.2391893863677979,1.0,1.0
15,0.9544117450714111,1.347668170928955,0.9985294342041016,1.0,0.970588207244873,1.2281967401504517,1.0,1.0
16,0.9808823466300964,1.276356816291809,0.9985294342041016,1.0,1.0,1.0859551429748535,1.0,1.0
17,0.9897058606147766,1.182707667350769,0.9985294342041016,0.9985294342041016,0.9411764740943909,1.2331172227859497,0.970588207244873,0.970588207244873
18,0.9808823466300964,1.133553147315979,0.9985294342041016,1.0,0.9411764740943909,1.1242042779922485,1.0,1.0
19,0.9720588326454163,1.116484522819519,0.9955882430076599,0.9970588088035583,0.9411764740943909,1.1267919540405273,0.970588207244873,0.970588207244873
20,0.9102941155433655,1.2477563619613647,0.9867647290229797,0.9926470518112183,0.3529411852359772,3.291562080383301,0.6764705777168274,0.8235294222831726
21,0.9205882549285889,1.3492565155029297,0.9897058606147766,0.9970588088035583,0.8529411554336548,1.4494085311889648,0.970588207244873,0.970588207244873
22,0.945588231086731,1.316684603691101,0.9926470518112183,0.9985294342041016,0.970588207244873,1.1577686071395874,1.0,1.0
23,0.979411780834198,1.1805777549743652,0.9985294342041016,1.0,0.9411764740943909,1.1593351364135742,1.0,1.0
24,0.9808823466300964,1.139481544494629,0.9970588088035583,0.9970588088035583,0.9411764740943909,1.1008211374282837,0.970588207244873,1.0
25,0.9808823466300964,1.0529440641403198,1.0,1.0,0.9117646813392639,1.0150643587112427,1.0,1.0
26,0.9897058606147766,1.0086369514465332,0.9970588088035583,1.0,0.970588207244873,0.9422378540039062,1.0,1.0
27,0.9941176176071167,0.9612062573432922,0.9985294342041016,0.9985294342041016,0.970588207244873,0.9049142599105835,1.0,1.0
28,0.9735293984413147,1.0072332620620728,0.9926470518112183,0.9970588088035583,0.9411764740943909,1.0362058877944946,0.970588207244873,0.970588207244873
29,0.966176450252533,1.0223654508590698,0.9970588088035583,0.9985294342041016,1.0,0.890204906463623,1.0,1.0
30,0.9867647290229797,0.9779013991355896,0.9970588088035583,0.9985294342041016,0.970588207244873,0.9191897511482239,1.0,1.0
31,0.9941176176071167,0.922264575958252,0.9985294342041016,0.9985294342041016,0.970588207244873,0.8665522336959839,1.0,1.0
32,0.9735293984413147,0.9339795112609863,0.9955882430076599,1.0,0.970588207244873,0.9015059471130371,1.0,1.0
33,0.9367647171020508,1.0542515516281128,0.9823529124259949,0.9911764860153198,1.0,0.8753950595855713,1.0,1.0
34,0.966176450252533,1.033132791519165,0.9985294342041016,1.0,1.0,0.8898914456367493,1.0,1.0
35,0.9852941036224365,0.9687925577163696,1.0,1.0,0.970588207244873,0.8937981724739075,1.0,1.0
36,0.9823529124259949,0.93687504529953,1.0,1.0,1.0,0.829404354095459,1.0,1.0
37,0.9911764860153198,0.8878459334373474,1.0,1.0,0.970588207244873,0.8578429818153381,0.970588207244873,1.0
38,0.9852941036224365,0.8918570876121521,0.9926470518112183,0.9955882430076599,0.9411764740943909,0.9211595058441162,1.0,1.0
39,0.9882352948188782,0.8706417083740234,0.9985294342041016,0.9985294342041016,0.9411764740943909,0.8501287698745728,1.0,1.0
40,0.9926470518112183,0.8515328764915466,1.0,1.0,0.970588207244873,0.8169151544570923,0.970588207244873,1.0
41,0.9955882430076599,0.8288288116455078,1.0,1.0,0.970588207244873,0.8054995536804199,0.970588207244873,0.970588207244873
42,0.979411780834198,0.8496471643447876,0.9985294342041016,1.0,0.8823529481887817,1.0362882614135742,0.970588207244873,0.970588207244873
43,0.9647058844566345,0.9186577200889587,0.9941176176071167,1.0,0.970588207244873,0.9225342869758606,0.970588207244873,1.0
44,0.9838235378265381,0.9301502704620361,0.9955882430076599,0.9985294342041016,0.8823529481887817,1.062591314315796,1.0,1.0
45,0.9867647290229797,0.8852725625038147,1.0,1.0,0.970588207244873,0.8150321841239929,1.0,1.0
46,0.9911764860153198,0.8555523157119751,0.9955882430076599,0.9985294342041016,0.970588207244873,0.7745251059532166,1.0,1.0
47,0.9941176176071167,0.8297356963157654,0.9970588088035583,0.9985294342041016,0.970588207244873,0.7978600859642029,1.0,1.0
48,0.9926470518112183,0.7990148067474365,1.0,1.0,1.0,0.7127777338027954,1.0,1.0
49,0.970588207244873,0.8620885610580444,0.9970588088035583,0.9985294342041016,0.7941176295280457,1.4507695436477661,0.9411764740943909,0.970588207244873
50,0.9544117450714111,0.9420210123062134,0.9911764860153198,0.9955882430076599,0.7941176295280457,1.2402819395065308,0.970588207244873,0.970588207244873
51,0.979411780834198,0.9140346050262451,0.9970588088035583,0.9985294342041016,0.9411764740943909,0.957202672958374,1.0,1.0
52,0.9617646932601929,0.9753018617630005,0.9911764860153198,0.9941176176071167,0.8823529481887817,1.1125999689102173,1.0,1.0
53,0.9764705896377563,0.9294812083244324,0.9970588088035583,0.9970588088035583,0.970588207244873,0.8456839323043823,1.0,1.0
54,0.9911764860153198,0.8754451274871826,1.0,1.0,0.970588207244873,0.8945209383964539,1.0,1.0
55,0.9911764860153198,0.8424636721611023,0.9970588088035583,1.0,0.9411764740943909,0.8354600667953491,1.0,1.0
56,0.9941176176071167,0.8273254632949829,1.0,1.0,0.970588207244873,0.8291525840759277,1.0,1.0
57,0.9970588088035583,0.7808156609535217,1.0,1.0,0.9411764740943909,0.8639248609542847,0.970588207244873,1.0
58,0.9720588326454163,0.860703706741333,0.9941176176071167,0.9955882430076599,0.970588207244873,0.8615714907646179,0.970588207244873,1.0
